ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
560021	560021	560021	41.9	-121.5583	4257.74	-999	4.0962	60	B	2	50	
560023	560023	560023	41.9	-121.475	4032.15	-999	4.2	60	B	2	50	
560024	560024	560024	41.9	-121.4333	4034.78	-999	4.2	60	B	2	50	
560025	560025	560025	41.9	-121.3917	4046.33	-999	4.1422	60	B	2	50	
560026	560026	560026	41.9	-121.35	4044.75	-999	3.1844	60	B	2	50	
560027	560027	560027	41.9	-121.3083	4308.01	-999	1.5218	60	A	1	50	
560028	560028	560028	41.9	-121.2667	4581.5	-999	1.44	60	B	2	50	
560035	560035	560035	41.9	-120.975	4610.5	-999	1.2	60	B	2	50	
560050	560050	560050	41.9	-120.35	4748.16	-999	1.3759	60	B	2	50	
560051	560051	560051	41.9	-120.3083	5039.5	-999	1.4308	60	B	2	50	
560077	560077	560077	41.9	-119.225	5676.77	-999	1.56	60	B	2	50	
560080	560080	560080	41.9	-119.1	5533.46	-999	1.3683	60	B	2	50	
560081	560081	560081	41.9	-119.0583	5596.98	-999	1.32	60	A	1	50	
560087	560087	560087	41.9	-118.8083	4304.46	-999	2.04	60	B	2	50	
560088	560088	560088	41.9	-118.7667	4262.99	-999	2.04	60	B	2	50	
560100	560100	560100	41.9	-118.2667	4652.23	-999	1.92	60	B	2	50	
560113	560113	560113	41.9	-117.725	4357.35	-999	1.7619	60	B	2	50	
561343	561343	561343	41.9417	-124.225	2.3	-999	2.04	60	B	2	50	
561344	561344	561344	41.9417	-124.1833	238.84	-999	1.8748	60	B	2	50	
561345	561345	561345	41.9417	-124.1417	546.26	-999	1.8672	60	B	2	50	
