date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
1987-12-24,1987,12,24,40.9416666667,-118.1416666333,1291.7600097656,1.7950825804,-15.6500000000,-3.8500000000,99.2000000000,0.2275920658,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1987-12-25,1987,12,25,40.9416666667,-118.1416666333,1291.7600097656,0.8227461827,-15.6500000000,-3.1500000000,96.4000000000,0.2429348158,86.9340451125,0.0000000000,0.4000000000,0.3000000000
1987-12-26,1987,12,26,40.9416666667,-118.1416666333,1291.7600097656,0.7479510752,-14.8500000000,-1.8500000000,95.9000000000,0.2666423083,86.9340451125,0.0000000000,0.4000000000,0.3000000000
1987-12-27,1987,12,27,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-13.7500000000,-0.8500000000,96.8000000000,0.2917390267,86.9340451125,0.0000000000,0.5000000000,0.3000000000
1987-12-28,1987,12,28,40.9416666667,-118.1416666333,1291.7600097656,1.1219266128,-13.2500000000,1.2500000000,77.2000000000,0.3753551651,86.9340451125,1.0000000000,0.4000000000,0.3000000000
1987-12-29,1987,12,29,40.9416666667,-118.1416666333,1291.7600097656,0.7479510752,-8.8500000000,2.2500000000,75.9000000000,0.3725689414,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1987-12-30,1987,12,30,40.9416666667,-118.1416666333,1291.7600097656,1.7950825804,-12.9500000000,0.3500000000,94.4000000000,0.3614233700,86.9340451125,0.0000000000,0.5000000000,0.3000000000
1987-12-31,1987,12,31,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-8.4500000000,1.9500000000,71.3000000000,0.3460964425,86.9340451125,0.0000000000,0.7000000000,0.5000000000
1988-01-01,1988,1,1,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-13.2500000000,0.2500000000,92.6000000000,0.2485134895,86.9340451125,0.0000000000,0.9000000000,0.6000000000
1988-01-02,1988,1,2,40.9416666667,-118.1416666333,1291.7600097656,0.8227461827,-13.5500000000,-0.0500000000,84.5000000000,0.2708254755,86.9340451125,1.3000000000,0.6000000000,0.4000000000
1988-01-03,1988,1,3,40.9416666667,-118.1416666333,1291.7600097656,1.1967217203,-11.0500000000,2.3500000000,60.7000000000,0.3976425214,86.9340451125,15.7000000000,0.6000000000,0.4000000000
1988-01-04,1988,1,4,40.9416666667,-118.1416666333,1291.7600097656,0.7479510752,-6.5500000000,3.5500000000,47.5000000000,0.5090144332,86.9340451125,5.8000000000,0.5000000000,0.4000000000
1988-01-05,1988,1,5,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-5.7500000000,4.4500000000,70.7000000000,0.5284934096,86.9340451125,1.4000000000,0.5000000000,0.4000000000
1988-01-06,1988,1,6,40.9416666667,-118.1416666333,1291.7600097656,1.4959021503,-8.7500000000,3.1500000000,90.3000000000,0.4143551993,86.9340451125,0.0000000000,0.7000000000,0.5000000000
1988-01-07,1988,1,7,40.9416666667,-118.1416666333,1291.7600097656,1.1219266128,-10.4500000000,1.7500000000,85.9000000000,0.3558501785,86.9340451125,0.0000000000,0.6000000000,0.5000000000
1988-01-08,1988,1,8,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-8.6500000000,2.8500000000,63.8000000000,0.4352426254,86.9340451125,1.3000000000,0.6000000000,0.5000000000
1988-01-09,1988,1,9,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-6.2500000000,3.7500000000,58.8000000000,0.4937072029,86.9340451125,0.5000000000,0.6000000000,0.5000000000
1988-01-10,1988,1,10,40.9416666667,-118.1416666333,1291.7600097656,1.8698776879,-6.1500000000,4.6500000000,80.9000000000,0.4923155353,86.9340451125,0.0000000000,0.8000000000,0.6000000000
1988-01-11,1988,1,11,40.9416666667,-118.1416666333,1291.7600097656,3.7397553758,-6.9500000000,5.1500000000,68.2000000000,0.4227106259,86.9340451125,0.4000000000,1.6000000000,1.0000000000
1988-01-12,1988,1,12,40.9416666667,-118.1416666333,1291.7600097656,1.7202874729,-9.9500000000,1.8500000000,95.8000000000,0.3279801628,86.9340451125,0.0000000000,0.9000000000,0.6000000000
1988-01-13,1988,1,13,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-10.3500000000,3.1500000000,92.6000000000,0.3878923354,86.9340451125,0.9000000000,0.7000000000,0.5000000000
1988-01-14,1988,1,14,40.9416666667,-118.1416666333,1291.7600097656,1.4959021503,-6.7500000000,4.8500000000,78.7000000000,0.4603025201,86.9340451125,1.3000000000,0.9000000000,0.6000000000
1988-01-15,1988,1,15,40.9416666667,-118.1416666333,1291.7600097656,1.9446727954,-4.6500000000,6.7500000000,74.3000000000,0.4352426254,86.9340451125,1.1000000000,1.5000000000,1.0000000000
1988-01-16,1988,1,16,40.9416666667,-118.1416666333,1291.7600097656,2.0942630105,-6.0500000000,5.2500000000,70.6000000000,0.4185329886,86.9340451125,0.6000000000,1.3000000000,0.9000000000
1988-01-17,1988,1,17,40.9416666667,-118.1416666333,1291.7600097656,1.9446727954,-8.4500000000,4.6500000000,98.6000000000,0.3502767165,86.9340451125,0.0000000000,1.4000000000,0.9000000000
1988-01-18,1988,1,18,40.9416666667,-118.1416666333,1291.7600097656,1.1967217203,-11.0500000000,2.4500000000,102.2000000000,0.2513027248,86.9340451125,0.0000000000,1.1000000000,0.7000000000
1988-01-19,1988,1,19,40.9416666667,-118.1416666333,1291.7600097656,0.6731559677,-14.1500000000,-1.2500000000,109.0000000000,0.2443295096,86.9340451125,0.0000000000,0.6000000000,0.4000000000
