LAT,LON,GRIDMET_ID,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8,STATION_ID,GRID_FILE_PATH
45.525,-120.4333333,680630,420.68,1380.18,41055.0,OR,Sherman,County,Oregon,17070204,680630,E:\or_statewide\climate_data\gridmet_historical_680630.csv
45.525,-120.391666633,680631,347.68,1140.68,41055.0,OR,Sherman,County,Oregon,17070204,680631,E:\or_statewide\climate_data\gridmet_historical_680631.csv
45.525,-120.349999967,680632,265.32,870.472,41021.0,OR,Gilliam,County,Oregon,17070204,680632,E:\or_statewide\climate_data\gridmet_historical_680632.csv
45.525,-120.3083333,680633,329.76,1081.89,41021.0,OR,Gilliam,County,Oregon,17070204,680633,E:\or_statewide\climate_data\gridmet_historical_680633.csv
45.525,-120.266666633,680634,342.44,1123.49,41021.0,OR,Gilliam,County,Oregon,17070204,680634,E:\or_statewide\climate_data\gridmet_historical_680634.csv
45.525,-120.224999967,680635,336.52,1104.07,41021.0,OR,Gilliam,County,Oregon,17070204,680635,E:\or_statewide\climate_data\gridmet_historical_680635.csv
45.525,-120.1833333,680636,357.44,1172.7,41021.0,OR,Gilliam,County,Oregon,17070204,680636,E:\or_statewide\climate_data\gridmet_historical_680636.csv
45.525,-120.141666633,680637,394.16,1293.18,41021.0,OR,Gilliam,County,Oregon,17070104,680637,E:\or_statewide\climate_data\gridmet_historical_680637.csv
45.525,-120.099999967,680638,378.0,1240.16,41021.0,OR,Gilliam,County,Oregon,17070104,680638,E:\or_statewide\climate_data\gridmet_historical_680638.csv
45.525,-120.0583333,680639,355.96,1167.85,41021.0,OR,Gilliam,County,Oregon,17070104,680639,E:\or_statewide\climate_data\gridmet_historical_680639.csv
45.525,-120.016666633,680640,372.04,1220.6,41021.0,OR,Gilliam,County,Oregon,17070104,680640,E:\or_statewide\climate_data\gridmet_historical_680640.csv
45.525,-119.974999967,680641,372.12,1220.87,41049.0,OR,Morrow,County,Oregon,17070104,680641,E:\or_statewide\climate_data\gridmet_historical_680641.csv
45.525,-119.9333333,680642,357.48,1172.83,41049.0,OR,Morrow,County,Oregon,17070104,680642,E:\or_statewide\climate_data\gridmet_historical_680642.csv
45.525,-119.891666633,680643,372.2,1221.13,41049.0,OR,Morrow,County,Oregon,17070104,680643,E:\or_statewide\climate_data\gridmet_historical_680643.csv
45.525,-119.849999967,680644,416.72,1367.19,41049.0,OR,Morrow,County,Oregon,17070101,680644,E:\or_statewide\climate_data\gridmet_historical_680644.csv
