HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Lower Deschutes (17070306),1997,39691.86249928701,89515.8945125151,37045.6184889577,52470.27602355735,74589.79596555684,2.2552706997340595,0.9333303139811883,1.3219403857528702,1.8792213634947643
Lower Deschutes (17070306),1998,41641.91531694837,89246.56895118214,41696.06354017676,47550.50541100512,67106.07635110308,2.143190779576331,1.0013003297955017,1.141890449780823,1.611503117480063
Lower Deschutes (17070306),1999,37322.97641841424,79986.37144646318,27212.341125751936,52774.030320711245,74798.02218243382,2.143086621757204,0.7291042606217771,1.4139823611354274,2.0040744163568456
Lower Deschutes (17070306),2000,39391.00321786814,87766.3978215031,22160.863642489425,65605.53417901378,92378.2080652835,2.228082319611789,0.5625869318412546,1.665495387770537,2.345160075115321
Lower Deschutes (17070306),2001,34575.016923887895,76344.04680926609,20228.40304887489,56115.64376039125,77905.99061946086,2.2080696873504624,0.5850583701348553,1.6230113172156084,2.2532451912014997
Lower Deschutes (17070306),2002,35444.93020703336,83369.92632026684,18074.788482932403,65295.13783733444,90809.67284547094,2.3520973474430398,0.5099400218129309,1.8421573256301091,2.5619932756265245
Lower Deschutes (17070306),2003,34358.95800443756,80339.24901764009,24979.287217807832,55359.961799832316,76978.05395746452,2.338232987370107,0.7270094516423252,1.6112235357277835,2.2404071144277014
Lower Deschutes (17070306),2004,37048.187085707934,87005.84898685933,30659.30090141687,56346.548085442446,78457.11930589456,2.348450918410082,0.8275519887245522,1.5208989296855293,2.117704683481285
Lower Deschutes (17070306),2005,37613.52496781182,84026.92648752531,31396.64222263791,52630.28426488749,72909.12644657068,2.233955114800654,0.8347168272451446,1.3992382875555116,1.9383752655185456
Lower Deschutes (17070306),2006,35307.532722620315,81556.70523934808,30248.56493263144,51308.140306716705,71351.34117490373,2.3098953382006644,0.8567170402493809,1.4531782979512855,2.02085321949419
Lower Deschutes (17070306),2007,36108.32816814824,83787.18712477043,26815.816799593227,56971.37032517713,78614.99595872402,2.320439393776212,0.7426490829128973,1.577790310863313,2.1771984455395423
Lower Deschutes (17070306),2008,39365.431450711265,89983.35266235707,24247.906282864045,65735.44637949309,90756.09395353994,2.285846981634726,0.6159695293375459,1.6698774522971822,2.305476927572202
Lower Deschutes (17070306),2009,37203.78192152193,88011.03690536637,28250.697816854656,59760.33908851153,82598.82962970341,2.3656475863399544,0.7593501616703107,1.6062974246696387,2.2201729330619746
Lower Deschutes (17070306),2010,38500.822069314934,84133.65538112348,35459.41498076629,48674.240400357296,67557.87511605666,2.1852430898658084,0.9210041000404342,1.264238989825377,1.7547125356032367
Lower Deschutes (17070306),2011,39232.61675150103,85135.4752205468,31461.195118534994,53674.2801020118,74273.35988912712,2.1700177625110753,0.8019142673508082,1.3681034951602669,1.8931533514466745
Lower Deschutes (17070306),2012,36397.35200070308,82698.06979567122,29332.58966351218,53365.480132159275,73652.98568311568,2.2720902826687435,0.8058990022940561,1.4661912803746937,2.0235808825238975
Lower Deschutes (17070306),2013,38526.98843512119,88928.73574583863,33351.89379537923,55576.84195045922,76561.86191664252,2.3082192343061836,0.8656761182240669,1.4425431160821123,1.9872267474415093
