OPENET_ID,OWRD
ORx_101096,2
ORx_101097,2
ORx_101098,2
ORx_101099,2
ORx_1011,8
ORx_10110,7
ORx_101100,2
ORx_101101,2
ORx_101102,2
ORx_101103,2
ORx_101104,2
ORx_101105,2
ORx_101106,2
ORx_101107,2
ORx_101108,2
ORx_101109,2
ORx_10111,7
ORx_101110,2
ORx_101111,2
ORx_101112,2
ORx_101113,2
ORx_101114,2
ORx_101115,2
ORx_101116,2
ORx_101117,2
ORx_101118,2
ORx_101119,2
ORx_10112,7
ORx_101120,2
ORx_101121,2
ORx_101122,2
ORx_101123,2
ORx_101124,2
ORx_101125,2
ORx_101126,2
ORx_101127,2
ORx_101128,2
ORx_101129,2
ORx_10113,7
ORx_101130,2
ORx_101131,2
ORx_101132,2
ORx_101133,2
ORx_101134,2
ORx_101135,2
ORx_101136,2
ORx_101137,2
ORx_101138,2
ORx_101139,2
ORx_10114,7
ORx_101140,2
ORx_101141,2
ORx_101142,2
ORx_101143,2
ORx_101144,2
ORx_101145,2
ORx_101146,2
ORx_101147,2
ORx_101148,2
ORx_101149,2
ORx_10115,7
ORx_101150,2
ORx_101151,2
ORx_101152,2
ORx_101153,2
ORx_101154,2
ORx_101155,2
ORx_101156,2
ORx_101157,2
ORx_101158,2
ORx_101159,2
ORx_10116,7
ORx_101160,2
ORx_101161,2
ORx_101162,2
ORx_101163,2
ORx_101164,2
ORx_101165,2
ORx_101166,2
ORx_101167,2
ORx_101168,2
ORx_101169,2
ORx_10117,7
ORx_101170,2
ORx_101171,2
ORx_101172,2
ORx_101173,2
ORx_101174,2
ORx_101175,2
ORx_101176,2
ORx_101177,2
ORx_101178,2
ORx_101179,2
ORx_10118,7
ORx_101180,2
ORx_101181,2
ORx_101182,2
ORx_101183,2
ORx_101184,2
ORx_101185,2
ORx_101186,2
ORx_101187,2
ORx_101188,2
ORx_101189,2
ORx_10119,7
ORx_101190,2
ORx_101191,2
ORx_101192,2
ORx_101193,2
ORx_101194,2
ORx_101195,2
ORx_101196,2
ORx_101197,2
ORx_101198,2
ORx_101199,2
